Region,Region_Name,Period,Secondary Culture,Area (ha),Culture,Cultivation practices,Type of crop,Sowing method,Sowing method name,Variety Name,Variety type,Variety type name,Variety cycle,Cultivation conditions,Cultivation_condition,Cause of poor conditions,Quantity of seeds used (kg),Classified seed quantity (kg),Type of spacing,Type of irrigation,Type of irrigation name,Quantity of organic fertiliser (kg),Quantity of chemical fertiliser (kg),Quantity of plant protection product (L),Agricultural Equipment,Agricultural Equipment Name,Harvester used,Destination production,Destination production name,Technical support,Technical support name,Estimated production (tonnes),Number of growing days,Dry weight (g/m2) /1001,Humidity level/10 (%),Weight of rice without moisture (g/m2) /1000,Yield (T/Ha)
1,Bongolava,2,0,2.31,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,69,1,4,2,Motorised irrigation,258.72,205.59,20.79,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,6.93,171,0.044352,0.36,0.044192333,0.441923328
1,Bongolava,2,0,4.53,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,220,3,3,1,Gravity irrigation,643.26,13.59,40.77,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,13.59,159,0.510078,0.12,0.509465906,5.094659064
3,Diana,2,0,3.21,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,89,1,4,1,Gravity irrigation,340.26,324.21,12.84,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,12.84,165,0.361446,0.12,0.361012265,3.610122648
3,Diana,2,0,3.39,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,167,2,3,1,Gravity irrigation,484.77,40.68,30.51,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,10.17,174,0.381714,0.18,0.381026915,3.810269148
3,Diana,2,0,1.72,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,85,1,4,2,Motorised irrigation,227.04,55.04,10.32,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,6.88,147,0.033024,0.36,0.032905114,0.329051136
4,Boeny,1,0,0.66,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,37,1,4,3,Rain water irrigation,54.78,61.38,5.28,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.64,76,0.012672,0.18,0.01264919,0.126491904
1,Bongolava,2,0,3.74,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,145,2,4,1,Gravity irrigation,183.26,48.62,11.22,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,18.7,193,0.421124,0.18,0.420365977,4.203659768
4,Boeny,1,0,0.46,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,11,1,3,3,Rain water irrigation,66.24,38.64,1.84,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.84,36,0.08832,0.18,0.088161024,0.88161024
3,Diana,2,0,3.88,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,2,221,3,3,1,Gravity irrigation,574.24,147.44,27.16,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,19.4,93,0.436888,0.13,0.436320046,4.363200456
1,Bongolava,2,0,5.07,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,469,5,1,2,Motorised irrigation,664.17,65.91,10.14,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,25.35,132,0.570882,0.16,0.569968589,5.699685888
4,Boeny,1,0,0.91,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,35,1,4,3,Rain water irrigation,55.51,49.14,7.28,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,2.73,40,0.017472,0.11,0.017452781,0.174527808
4,Boeny,1,0,0.96,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,90,1,2,3,Rain water irrigation,45.12,95.04,7.68,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,4.8,50,0.018432,0.19,0.018396979,0.183969792
3,Diana,2,0,3.99,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,190,2,3,1,Gravity irrigation,598.5,3.99,11.97,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,19.95,122,0.449274,0.18,0.448465307,4.484653068
1,Bongolava,2,0,5.58,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,529,5,1,2,Motorised irrigation,758.88,524.52,27.9,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,27.9,95,0.628308,0.15,0.627365538,6.27365538
3,Diana,2,0,3.6,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,342,4,1,2,Motorised irrigation,493.2,72,21.6,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,10.8,135,0.40536,0.18,0.404630352,4.04630352
1,Bongolava,2,0,5.2,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,140,2,4,2,Motorised irrigation,327.6,213.2,52,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,15.6,84,0.58552,0.18,0.584466064,5.84466064
5,Vatovavy,1,0,0.36,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,22,1,1,3,Rain water irrigation,49.68,27.36,2.16,1,Manual Equipment,2,1,Sale,1,Financial aid,1.8,55,0.06912,0.21,0.068974848,0.68974848
2,Itasy,2,0,3.53,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,3,72,1,3,2,Motorised irrigation,518.91,384.77,3.53,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,14.12,154,0.397478,0.23,0.396563801,3.965638006
2,Itasy,2,0,2.11,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,4,Good,0,99,1,3,1,Gravity irrigation,48.53,61.19,21.1,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.44,187,0.040512,0.19,0.040435027,0.404350272
2,Itasy,2,0,3.33,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,186,2,4,2,Motorised irrigation,462.87,83.25,13.32,2,Animal Drawn Equipment,1,3,Both,3,Training,16.65,92,0.374958,0.18,0.374283076,3.742830756
3,Diana,2,0,2.33,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,113,2,4,1,Gravity irrigation,305.23,97.86,13.98,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,6.99,125,0.044736,0.2,0.044646528,0.44646528
5,Vatovavy,1,0,0.85,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,3,29,1,4,3,Rain water irrigation,66.3,22.1,8.5,1,Manual Equipment,2,1,Sale,1,Financial aid,2.55,80,0.01632,0.2,0.01628736,0.1628736
1,Bongolava,2,0,5.69,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,2,286,3,4,2,Motorised irrigation,369.85,170.7,11.38,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,17.07,112,0.640694,0.2,0.639412612,6.39412612
4,Boeny,1,0,0.13,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,5,1,4,3,Rain water irrigation,17.03,7.67,0.91,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.52,82,0.02496,0.19,0.024912576,0.24912576
1,Bongolava,2,0,5.7,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,288,3,3,1,Gravity irrigation,364.8,587.1,45.6,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,22.8,194,0.64182,0.18,0.640664724,6.40664724
4,Boeny,1,0,0.94,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,66,1,1,3,Rain water irrigation,46.06,3.76,4.7,1,Manual Equipment,2,3,Both,1,Financial aid,2.82,83,0.018048,0.14,0.018022733,0.180227328
1,Bongolava,2,0,5.77,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,4,Good,0,444,5,2,2,Motorised irrigation,173.1,386.59,5.77,3,Motorized Equipment,1,2,Self-Consumption,3,Training,17.31,132,0.649702,0.16,0.648662477,6.486624768
5,Vatovavy,1,0,0.13,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,4,1,3,3,Rain water irrigation,2.99,14.17,0.26,1,Manual Equipment,2,1,Sale,1,Financial aid,0.39,47,0.02496,0.2,0.02491008,0.2491008
4,Boeny,1,0,0.68,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,33,1,3,3,Rain water irrigation,56.44,30.6,1.36,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.4,39,0.013056,0.15,0.013036416,0.13036416
3,Diana,2,0,2.35,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,101,2,4,2,Motorised irrigation,82.25,133.95,21.15,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,7.05,140,0.04512,0.11,0.045070368,0.45070368
1,Bongolava,2,0,3.67,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,285,3,1,2,Motorised irrigation,304.61,344.98,25.69,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,14.68,188,0.413242,0.12,0.41274611,4.127461096
1,Bongolava,2,0,6.21,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,293,3,3,1,Gravity irrigation,912.87,86.94,31.05,2,Animal Drawn Equipment,1,2,Self-Consumption,0,None,31.05,128,0.699246,0.36,0.696728714,6.967287144
4,Boeny,1,0,0.86,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,36,1,3,3,Rain water irrigation,40.42,43,5.16,1,Manual Equipment,2,1,Sale,1,Financial aid,3.44,69,0.016512,0.1,0.016495488,0.16495488
3,Diana,2,0,3.92,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,234,3,3,2,Motorised irrigation,192.08,392,39.2,3,Motorized Equipment,1,2,Self-Consumption,4,Support/Advice,19.6,87,0.441392,0.12,0.44086233,4.408623296
3,Diana,2,0,2.51,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,2,89,1,3,2,Motorised irrigation,138.05,67.77,5.02,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,7.53,101,0.282626,0.23,0.28197596,2.819759602
5,Vatovavy,1,0,0.95,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,22,1,4,3,Rain water irrigation,94.05,84.55,1.9,1,Manual Equipment,2,3,Both,2,Seed Donation,2.85,50,0.01824,0.36,0.018174336,0.18174336
3,Diana,2,0,3.05,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,103,2,4,2,Motorised irrigation,308.05,283.65,27.45,2,Animal Drawn Equipment,1,3,Both,5,Vulgarisation,12.2,191,0.34343,0.19,0.342777483,3.42777483
3,Diana,2,0,1.47,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,45,1,4,2,Motorised irrigation,26.46,66.15,13.23,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,4.41,154,0.028224,0.13,0.028187309,0.281873088
3,Diana,2,0,2.31,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,57,1,4,2,Motorised irrigation,124.74,168.63,20.79,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,6.93,134,0.044352,0.13,0.044294342,0.442943424
2,Itasy,2,0,1.42,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,2,62,1,4,2,Motorised irrigation,139.16,146.26,14.2,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,5.68,88,0.027264,0.19,0.027212198,0.272121984
5,Vatovavy,1,0,0.17,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,2,10,1,4,3,Rain water irrigation,24.82,10.71,1.02,1,Manual Equipment,2,1,Sale,1,Financial aid,0.51,42,0.03264,0.15,0.03259104,0.3259104
1,Bongolava,2,0,4.14,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,125,2,4,2,Motorised irrigation,140.76,219.42,20.7,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,16.56,199,0.466164,0.14,0.46551137,4.655113704
4,Boeny,1,0,0.2,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,2,4,1,4,3,Rain water irrigation,30,3.2,0.8,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.6,25,0.0384,0.18,0.03833088,0.3833088
1,Bongolava,2,0,3.21,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,113,2,3,2,Motorised irrigation,417.3,330.63,19.26,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,9.63,182,0.361446,0.2,0.360723108,3.60723108
5,Vatovavy,1,0,0.13,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,2,4,1,3,3,Rain water irrigation,10.79,13.52,1.17,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.52,74,0.02496,0.17,0.024917568,0.24917568
4,Boeny,1,0,0.63,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,44,1,1,3,Rain water irrigation,34.02,17.01,0.63,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.15,81,0.012096,0.23,0.012068179,0.120681792
5,Vatovavy,1,0,0.24,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,22,1,1,3,Rain water irrigation,22.32,16.08,1.2,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.2,90,0.04608,0.22,0.045978624,0.45978624
3,Diana,2,0,3.09,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,91,1,3,2,Motorised irrigation,86.52,135.96,30.9,2,Animal Drawn Equipment,1,3,Both,3,Training,12.36,169,0.347934,0.18,0.347307719,3.473077188
4,Boeny,1,0,0.81,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,44,1,3,3,Rain water irrigation,29.16,4.05,8.1,1,Manual Equipment,2,1,Sale,2,Seed Donation,4.05,20,0.015552,0.18,0.015524006,0.155240064
3,Diana,2,0,2.6,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,81,1,3,1,Gravity irrigation,244.4,65,20.8,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,7.8,89,0.29276,0.18,0.292233032,2.92233032
1,Bongolava,2,0,1.67,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,37,1,3,2,Motorised irrigation,70.14,43.42,6.68,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,6.68,101,0.032064,0.18,0.032006285,0.320062848
1,Bongolava,2,0,5.01,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,5,Very Good,0,180,2,4,1,Gravity irrigation,661.32,465.93,40.08,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,15.03,142,0.564126,0.14,0.563336224,5.633362236
4,Boeny,1,0,0.75,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,33,1,4,3,Rain water irrigation,60.75,58.5,6,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.75,41,0.0144,0.17,0.01437552,0.1437552
4,Boeny,1,0,0.57,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,2,22,1,4,3,Rain water irrigation,41.61,3.99,0.57,1,Manual Equipment,2,1,Sale,1,Financial aid,2.28,89,0.010944,0.16,0.01092649,0.109264896
5,Vatovavy,1,0,0.95,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,77,1,1,3,Rain water irrigation,48.45,101.65,4.75,1,Manual Equipment,2,3,Both,2,Seed Donation,4.75,53,0.01824,0.11,0.018219936,0.18219936
5,Vatovavy,1,0,0.98,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,2,49,1,4,3,Rain water irrigation,78.4,43.12,5.88,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,4.9,78,0.018816,0.19,0.01878025,0.187802496
3,Diana,2,0,3.7,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,130,2,3,1,Gravity irrigation,347.8,70.3,29.6,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,11.1,170,0.41662,0.15,0.41599507,4.1599507
4,Boeny,1,0,0.59,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,26,1,4,3,Rain water irrigation,68.44,44.25,4.72,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.77,54,0.011328,0.18,0.01130761,0.113076096
1,Bongolava,2,0,2.12,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,82,1,3,1,Gravity irrigation,288.32,40.28,2.12,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,6.36,83,0.040704,0.1,0.040663296,0.40663296
5,Vatovavy,1,0,0.72,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,18,1,4,3,Rain water irrigation,100.08,2.16,0.72,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.6,79,0.013824,0.17,0.013800499,0.138004992
5,Vatovavy,1,0,0.69,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,2,16,1,3,3,Rain water irrigation,91.08,38.64,0.69,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.45,75,0.013248,0.15,0.013228128,0.13228128
1,Bongolava,2,0,2.65,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,126,2,3,1,Gravity irrigation,90.1,37.1,26.5,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,7.95,178,0.29839,0.14,0.297972254,2.97972254
5,Vatovavy,1,0,0.92,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,27,1,4,3,Rain water irrigation,60.72,97.52,9.2,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,3.68,85,0.017664,0.36,0.01760041,0.176004096
3,Diana,2,0,2.56,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,88,1,4,2,Motorised irrigation,99.84,235.52,25.6,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,7.68,195,0.288256,0.15,0.287823616,2.87823616
4,Boeny,1,0,0.52,1,1,1,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,46,1,1,3,Rain water irrigation,16.64,6.24,1.04,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.56,86,0.09984,0.1,0.09974016,0.9974016
1,Bongolava,2,0,5.61,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,265,3,3,1,Gravity irrigation,286.11,583.44,50.49,3,Motorized Equipment,1,2,Self-Consumption,3,Training,28.05,196,0.631686,0.36,0.62941193,6.294119304
4,Boeny,1,0,0.99,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,45,1,3,3,Rain water irrigation,141.57,36.63,3.96,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,2.97,52,0.019008,0.2,0.018969984,0.18969984
5,Vatovavy,1,0,0.48,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,28,1,3,3,Rain water irrigation,53.76,41.28,1.44,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.92,75,0.09216,0.16,0.092012544,0.92012544
5,Vatovavy,1,0,0.44,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,3,16,1,3,3,Rain water irrigation,59.84,7.92,1.32,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.76,68,0.08448,0.36,0.084175872,0.84175872
1,Bongolava,2,0,3.78,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,3,292,3,2,2,Motorised irrigation,343.98,226.8,37.8,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,15.12,145,0.425628,0.18,0.42486187,4.248618696
3,Diana,2,0,1.76,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,3,111,2,1,2,Motorised irrigation,124.96,89.76,1.76,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,8.8,122,0.033792,0.13,0.03374807,0.337480704
2,Itasy,2,0,2.64,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,4,Good,0,125,2,3,1,Gravity irrigation,216.48,216.48,23.76,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,10.56,182,0.297264,0.18,0.296728925,2.967289248
1,Bongolava,2,0,5.85,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,2,139,2,4,2,Motorised irrigation,187.2,234,5.85,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,29.25,121,0.65871,0.36,0.656338644,6.56338644
2,Itasy,2,0,2.72,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,3,82,1,3,1,Gravity irrigation,78.88,269.28,2.72,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,8.16,111,0.306272,0.18,0.30572071,3.057207104
2,Itasy,2,0,4.28,1,1,2,2,In-line transplanting,61,2,Local/traditional variety,2,4,Good,0,93,1,4,1,Gravity irrigation,569.24,111.28,8.56,3,Motorized Equipment,1,2,Self-Consumption,3,Training,17.12,100,0.481928,0.18,0.48106053,4.810605296
3,Diana,2,0,3.93,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,192,2,3,2,Motorised irrigation,369.42,117.9,7.86,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,11.79,87,0.442518,0.13,0.441942727,4.419427266
2,Itasy,2,0,2.33,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,76,1,4,2,Motorised irrigation,72.23,51.26,6.99,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,9.32,86,0.044736,0.19,0.044651002,0.446510016
2,Itasy,2,0,2.77,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,5,Very Good,0,101,2,4,1,Gravity irrigation,36.01,47.09,19.39,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,8.31,183,0.311902,0.36,0.310779153,3.107791528
3,Diana,2,0,1.88,1,1,3,2,In-line transplanting,61,2,Local/traditional variety,2,1,Very poor,3,93,1,4,2,Motorised irrigation,176.72,163.56,1.88,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,9.4,156,0.036096,0.23,0.036012979,0.360129792
2,Itasy,2,0,1.81,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,122,2,2,1,Gravity irrigation,168.33,72.4,7.24,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,9.05,178,0.034752,0.1,0.034717248,0.34717248
2,Itasy,2,0,4.42,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,169,2,3,1,Gravity irrigation,371.28,70.72,13.26,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,17.68,151,0.497692,0.2,0.496696616,4.96696616
2,Itasy,2,0,1.84,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,4,Good,0,112,2,1,2,Motorised irrigation,51.52,86.48,16.56,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,7.36,89,0.035328,0.22,0.035250278,0.352502784
1,Bongolava,2,0,1.21,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,3,47,1,4,1,Gravity irrigation,29.04,107.69,7.26,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,4.84,129,0.023232,0.18,0.023190182,0.231901824
1,Bongolava,2,0,5.07,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,382,4,2,2,Motorised irrigation,349.83,507,15.21,3,Motorized Equipment,1,2,Self-Consumption,3,Training,15.21,91,0.570882,0.2,0.569740236,5.69740236
1,Bongolava,2,0,5.23,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,4,Good,0,231,3,3,1,Gravity irrigation,580.53,156.9,10.46,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,15.69,174,0.588898,0.13,0.588132433,5.881324326
3,Diana,2,0,2.04,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,2,Poor,2,185,2,2,2,Motorised irrigation,306,167.28,14.28,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,8.16,90,0.039168,0.16,0.039105331,0.391053312
5,Vatovavy,1,0,0.62,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,20,1,4,3,Rain water irrigation,59.52,58.28,4.34,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.86,82,0.011904,0.23,0.011876621,0.118766208
2,Itasy,2,0,2.31,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,5,Very Good,0,163,2,1,1,Gravity irrigation,23.1,157.08,18.48,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,6.93,159,0.044352,0.19,0.044267731,0.442677312
2,Itasy,2,0,4.86,1,1,3,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,249,3,4,2,Motorised irrigation,447.12,534.6,34.02,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,24.3,180,0.547236,0.11,0.54663404,5.466340404
3,Diana,2,0,2.69,1,1,3,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,244,3,2,1,Gravity irrigation,156.02,287.83,2.69,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,13.45,157,0.302894,0.2,0.302288212,3.02288212
2,Itasy,2,0,3.05,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,78,1,3,1,Gravity irrigation,186.05,295.85,12.2,2,Animal Drawn Equipment,1,3,Both,5,Vulgarisation,9.15,186,0.34343,0.18,0.342811826,3.42811826
1,Bongolava,2,0,1.72,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,101,2,4,1,Gravity irrigation,247.68,30.96,10.32,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,5.16,105,0.033024,0.18,0.032964557,0.329645568
5,Vatovavy,1,0,0.94,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,2,Poor,2,35,1,3,3,Rain water irrigation,15.04,52.64,4.7,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,3.76,70,0.018048,0.11,0.018028147,0.180281472
4,Boeny,1,0,0.86,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,2,Poor,3,27,1,3,3,Rain water irrigation,13.76,78.26,5.16,1,Manual Equipment,2,1,Sale,2,Seed Donation,4.3,36,0.016512,0.2,0.016478976,0.16478976
2,Itasy,2,0,1.89,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,3,Average,2,184,2,1,2,Motorised irrigation,164.43,194.67,5.67,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,7.56,140,0.036288,0.17,0.03622631,0.362263104
1,Bongolava,2,0,4.68,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,4,Good,0,239,3,3,2,Motorised irrigation,98.28,196.56,28.08,3,Motorized Equipment,1,2,Self-Consumption,4,Support/Advice,23.4,113,0.526968,0.16,0.526124851,5.261248512
4,Boeny,1,0,0.89,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,40,1,3,3,Rain water irrigation,17.8,80.1,4.45,1,Manual Equipment,2,1,Sale,1,Financial aid,4.45,46,0.017088,0.11,0.017069203,0.170692032
